ID,Üniversite,Bölüm,En Küçük Puan
2988,FENERBAHCE UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,341.55339
2989,MUS ALPARSLAN UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,341.54543
2990,ISTANBUL RUMELI UNIVERSITESI,Mimarlik,341.52833
2991,MUNZUR UNIVERSITESI,Psikoloji,341.48331
2992,CANKIRI KARATEKIN UNIVERSITESI,Hemsirelik,341.46548
2993,ISTANBUL BEYKENT UNIVERSITESI,Beslenme ve Diyetetik,341.42527
2994,SAKARYA UNIVERSITESI,Isletme,341.37444
2995,DOKUZ EYLUL UNIVERSITESI,Fizik Ogretmenligi,341.36724
2996,ANKARA UNIVERSITESI,Sumeroloji,341.25014
2997,SAGLIK BILIMLERI UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,341.23913
2998,ERZURUM TEKNIK UNIVERSITESI,Ingiliz Dili ve Edebiyati,341.19823
2999,HASAN KALYONCU UNIVERSITESI,Dijital Oyun Tasarimi,341.19823
3000,ISTANBUL SAGLIK VE TEKNOLOJI UNIVERSITESI,Beslenme ve Diyetetik,341.15265
3001,USKUDAR UNIVERSITESI,Beslenme ve Diyetetik,341.14987
3002,DOGUS UNIVERSITESI,Uluslararasi Ticaret ve Isletmecilik,341.1455
3003,AKDENIZ UNIVERSITESI,Ic Mimarlik,341.13981
3004,SAGLIK BILIMLERI UNIVERSITESI,Ergoterapi,341.0695
3005,ISTANBUL NISANTASI UNIVERSITESI,Isletme,341.05294
3006,NUH NACI YAZGAN UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,341.04517
3007,MARMARA UNIVERSITESI,Biyoloji,341.04151
3008,YUKSEK IHTISAS UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,341.02734
3009,DOGUS UNIVERSITESI,Iktisat,340.9904
3010,AGRI IBRAHIM CECEN UNIVERSITESI,Hemsirelik,340.77844
3011,OSTIM TEKNIK UNIVERSITESI,Ekonomi,340.73661
3012,MERSIN UNIVERSITESI,Turk Dili ve Edebiyati,340.73291
3013,ISTANBUL ATLAS UNIVERSITESI,Beslenme ve Diyetetik,340.7309
3014,AKDENIZ UNIVERSITESI,Reklamcilik,340.69522
3015,BURSA ULUDAG UNIVERSITESI,Fen Bilgisi Ogretmenligi,340.57557
3016,BIRUNI UNIVERSITESI,Cocuk Gelisimi,340.53475
3017,GIRNE AMERIKAN UNIVERSITESI,Ingiliz Dili ve Edebiyati,340.49827
3018,ATILIM UNIVERSITESI,Cocuk Gelisimi,340.46778
3019,MERSIN UNIVERSITESI,Yonetim Bilisim Sistemleri,340.42748
3020,GAZIANTEP UNIVERSITESI,Ilahiyat,340.41496
3021,ISTANBUL ESENYURT UNIVERSITESI,Dijital Oyun Tasarimi,340.40916
3022,GAZI UNIVERSITESI,Bilgisayar ve Ogretim Teknolojileri Ogretmenligi,340.37018
3023,KIRKLARELI UNIVERSITESI,Hemsirelik,340.34088
3024,DOGU AKDENIZ UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,340.3183
3025,CANKAYA UNIVERSITESI,Sehir ve Bolge Planlama,340.30457
3026,OSMANIYE KORKUT ATA UNIVERSITESI,Ingiliz Dili ve Edebiyati,340.22939
3027,KOCAELI UNIVERSITESI,Bilisim Sistemleri Muhendisligi,340.21621
3028,NECMETTIN ERBAKAN UNIVERSITESI,Arapca Ogretmenligi,340.18094
3029,ISTANBUL TICARET UNIVERSITESI,Lojistik Yonetimi,340.11558
3030,AGRI IBRAHIM CECEN UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,340.10067
3031,IZMIR DEMOKRASI UNIVERSITESI,Beslenme ve Diyetetik,340.04667
3032,TRABZON UNIVERSITESI,Yonetim Bilisim Sistemleri,340.02205
3033,GALATASARAY UNIVERSITESI,Hukuk,340.0
3034,YOZGAT BOZOK UNIVERSITESI,Hemsirelik,339.94625
3035,CUKUROVA UNIVERSITESI,Matematik,339.90178
3036,KAHRAMANMARAS ISTIKLAL UNIVERSITESI,Hemsirelik,339.77309
3037,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Iktisat,339.69488
3038,BINGOL UNIVERSITESI,Psikoloji,339.68105
3039,GIRNE UNIVERSITESI,Gemi Makineleri Isletme Muhendisligi,339.65063
3040,KAFKAS UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,339.60872
3041,DOGU AKDENIZ UNIVERSITESI,Makine Muhendisligi,339.60029
3042,ISTANBUL GELISIM UNIVERSITESI,Isletme,339.58854
3043,IZMIR TINAZTEPE UNIVERSITESI,Ebelik,339.56303
3044,ONDOKUZ MAYIS UNIVERSITESI,Ebelik,339.56043
3045,MALATYA TURGUT OZAL UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,339.54739
3046,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Adli Bilimler,339.53385
3047,ADIYAMAN UNIVERSITESI,Ingiliz Dili ve Edebiyati,339.49246
3048,AKDENIZ UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,339.44065
3049,BURSA ULUDAG UNIVERSITESI,Gida Muhendisligi,339.41303
3050,BARTIN UNIVERSITESI,Yonetim Bilisim Sistemleri,339.3674
3051,ANKARA HACI BAYRAM VELI UNIVERSITESI,Arapca Mutercim ve Tercumanlik,339.36243
3052,FATIH SULTAN MEHMET VAKIF UNIVERSITESI,Isletme,339.35408
3053,RECEP TAYYIP ERDOGAN UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,339.29544
3054,ARTVIN CORUH UNIVERSITESI,Hemsirelik,339.26301
3055,NECMETTIN ERBAKAN UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,339.22248
3056,CUKUROVA UNIVERSITESI,"Radyo, Televizyon ve Sinema",339.22123
3057,KASTAMONU UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,339.20661
3058,TOKAT GAZIOSMANPASA UNIVERSITESI,Hemsirelik,339.19191
3059,ONDOKUZ MAYIS UNIVERSITESI,Fransizca Ogretmenligi,339.11857
3060,KARAMANOGLU MEHMETBEY UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,339.06672
3061,ISTANBUL ESENYURT UNIVERSITESI,"Radyo, Televizyon ve Sinema",339.03167
3062,ISTANBUL YENI YUZYIL UNIVERSITESI,Beslenme ve Diyetetik,338.99321
3063,ESKISEHIR OSMANGAZI UNIVERSITESI,Tarih,338.97402
3064,ANADOLU UNIVERSITESI,Gazetecilik,338.93518
3065,ANADOLU UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,338.82768
3066,GAZI UNIVERSITESI,Enerji Sistemleri Muhendisligi,338.81891
3067,KAHRAMANMARAS ISTIKLAL UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,338.81468
3068,ATILIM UNIVERSITESI,Maliye,338.78506
3069,BEYKOZ UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,338.74213
3070,LEFKE AVRUPA UNIVERSITESI,Psikoloji,338.73946
3071,YASAR UNIVERSITESI,Tarim Ekonomisi,338.69471
3072,AKDENIZ UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,338.62239
3073,IZMIR KATIP CELEBI UNIVERSITESI,Turk Dili ve Edebiyati,338.49668
3074,DOGUS UNIVERSITESI,Ic Mimarlik,338.46643
3075,AGRI IBRAHIM CECEN UNIVERSITESI,Psikoloji,338.45985
3076,BASKENT UNIVERSITESI,Uluslararasi Finans ve Bankacilik,338.35063
3077,MERSIN UNIVERSITESI,Ebelik,338.29086
3078,LEFKE AVRUPA UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,338.23406
3079,GAZIANTEP UNIVERSITESI,Turk Dili ve Edebiyati,338.21711
3080,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Almanca Ogretmenligi,338.16757
3081,ONDOKUZ MAYIS UNIVERSITESI,Turk Dili ve Edebiyati,338.15791
3082,SELCUK UNIVERSITESI,Turizm Rehberligi,338.13787
3083,DOGUS UNIVERSITESI,Uluslararasi Iliskiler,338.07699
3084,GUMUSHANE UNIVERSITESI,Hemsirelik,338.05037
3085,ISKENDERUN TEKNIK UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,337.94825
3086,GAZIANTEP UNIVERSITESI,Cografya,337.88446
3087,ISTANBUL NISANTASI UNIVERSITESI,Uluslararasi Iliskiler,337.8777
3088,MUS ALPARSLAN UNIVERSITESI,Psikoloji,337.72403
3089,DUZCE UNIVERSITESI,Gorsel Iletisim Tasarimi,337.68165
3090,AYDIN ADNAN MENDERES UNIVERSITESI,Gorsel Iletisim Tasarimi,337.64206
3091,GIRNE AMERIKAN UNIVERSITESI,Deniz Ulastirma Isletme Muhendisligi,337.59825
3092,ESKISEHIR OSMANGAZI UNIVERSITESI,Uluslararasi Iliskiler,337.55106
3093,BATMAN UNIVERSITESI,Ingiliz Dili ve Edebiyati,337.52871
3094,ESKISEHIR OSMANGAZI UNIVERSITESI,Kimya,337.5178
3095,MARMARA UNIVERSITESI,Maliye,337.51229
3096,SIVAS CUMHURIYET UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,337.50826
3097,ISTANBUL ATLAS UNIVERSITESI,Ergoterapi,337.442
3098,SELCUK UNIVERSITESI,Cocuk Gelisimi,337.44181
3099,DOGU AKDENIZ UNIVERSITESI,Yonetim Bilisim Sistemleri,337.43846
3100,CANAKKALE ONSEKIZ MART UNIVERSITESI,"Radyo, Televizyon ve Sinema",337.4361
3101,DOKUZ EYLUL UNIVERSITESI,Fotograf,337.43196
3102,IZMIR KATIP CELEBI UNIVERSITESI,Medya ve Iletisim,337.3778
3103,ISTANBUL GELISIM UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,337.32455
3104,ISTANBUL TICARET UNIVERSITESI,Havacilik Yonetimi,337.3057
3105,CUKUROVA UNIVERSITESI,Isletme,337.25587
3106,KTO KARATAY UNIVERSITESI,Cocuk Gelisimi,337.22334
3107,CANAKKALE ONSEKIZ MART UNIVERSITESI,Ebelik,337.21478
3108,GAZI UNIVERSITESI,Odyoloji,337.19433
3109,YOZGAT BOZOK UNIVERSITESI,Ingiliz Dili ve Edebiyati,337.1783
3110,ABDULLAH GUL UNIVERSITESI,Isletme,337.17449
3111,ISTANBUL TOPKAPI UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,337.13445
3112,IGDIR UNIVERSITESI,Hemsirelik,337.13037
3113,EGE UNIVERSITESI,Sanat Tarihi,337.10294
3114,ANKARA MEDIPOL UNIVERSITESI,Odyoloji,337.07259
3115,CUKUROVA UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,336.94985
3116,KTO KARATAY UNIVERSITESI,Sosyoloji,336.87867
3117,SIIRT UNIVERSITESI,Veteriner,336.85656
3118,TOROS UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,336.85062
3119,ONDOKUZ MAYIS UNIVERSITESI,Cocuk Gelisimi,336.83502
3120,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Uluslararasi Ticaret ve Isletmecilik,336.82548
3121,ISTANBUL GELISIM UNIVERSITESI,Uluslararasi Ticaret ve Finansman,336.82113
3122,FENERBAHCE UNIVERSITESI,Beslenme ve Diyetetik,336.79565
3123,HAKKARI UNIVERSITESI,Hemsirelik,336.7892
3124,GIRESUN UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,336.76459
3125,HAKKARI UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,336.74531
3126,ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,Sosyoloji,336.68684
3127,BAYBURT UNIVERSITESI,Hemsirelik,336.64464
3128,FATIH SULTAN MEHMET VAKIF UNIVERSITESI,Insaat Muhendisligi,336.40178
3129,SAGLIK BILIMLERI UNIVERSITESI,Cocuk Gelisimi,336.3752
3130,TRAKYA UNIVERSITESI,Hemsirelik,336.24204
3131,MARMARA UNIVERSITESI,Felsefe,336.22973
3132,ISTANBUL GELISIM UNIVERSITESI,Beslenme ve Diyetetik,336.22238
3133,MUGLA SITKI KOCMAN UNIVERSITESI,Istatistik,336.12683
3134,AYDIN ADNAN MENDERES UNIVERSITESI,Ebelik,336.12576
3135,SULEYMAN DEMIREL UNIVERSITESI,Ebelik,336.10033
3136,SIVAS CUMHURIYET UNIVERSITESI,Hemsirelik,336.04042
3137,AKDENIZ UNIVERSITESI,Uluslararasi Iliskiler,336.02242
3138,ONDOKUZ MAYIS UNIVERSITESI,Beslenme ve Diyetetik,336.01416
3139,GIRNE AMERIKAN UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,335.93999
3140,AFYON KOCATEPE UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,335.93903
3141,ISTANBUL UNIVERSITESI-CERRAHPASA,Bilgisayar ve Ogretim Teknolojileri Ogretmenligi,335.86819
3142,GAZIANTEP UNIVERSITESI,Ebelik,335.84171
3143,ISTANBUL GELISIM UNIVERSITESI,Lojistik Yonetimi,335.83848
3144,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Alman Dili ve Edebiyati,335.81567
3145,MUGLA SITKI KOCMAN UNIVERSITESI,Turk Dili ve Edebiyati,335.7893
3146,BEZM-I ÂLEM VAKIF UNIVERSITESI,Saglik Yonetimi,335.77991
3147,KTO KARATAY UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,335.7532
3148,BASKENT UNIVERSITESI,Saglik Yonetimi,335.71613
3149,ESKISEHIR OSMANGAZI UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,335.61186
3150,ISTINYE UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,335.59425
3151,ANKARA UNIVERSITESI,Arkeoloji,335.57423
3152,ALTINBAS UNIVERSITESI,Isletme,335.54261
3153,GAZI UNIVERSITESI,Biyoloji,335.5266
3154,ISTANBUL KULTUR UNIVERSITESI,Iktisat,335.41537
3155,DOKUZ EYLUL UNIVERSITESI,Kimya Ogretmenligi,335.39122
3156,KOCAELI UNIVERSITESI,Ebelik,335.33144
3157,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Sosyoloji,335.26889
3158,TOROS UNIVERSITESI,Isletme,335.2237
3159,ANKARA UNIVERSITESI,Bilgisayar ve Ogretim Teknolojileri Ogretmenligi,335.22004
3160,IZMIR BAKIRCAY UNIVERSITESI,Uluslararasi Ticaret ve Isletmecilik,335.21844
3161,GIRNE UNIVERSITESI,Bilgisayar Muhendisligi,335.16847
3162,HASAN KALYONCU UNIVERSITESI,Beslenme ve Diyetetik,335.16212
3163,MARDIN ARTUKLU UNIVERSITESI,Ebelik,335.10931
3164,ISTANBUL ATLAS UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,335.1036
3165,AYDIN ADNAN MENDERES UNIVERSITESI,Cocuk Gelisimi,334.93908
3166,SAKARYA UNIVERSITESI,Ebelik,334.92044
3167,SELCUK UNIVERSITESI,Yonetim Bilisim Sistemleri,334.91817
3168,KARABUK UNIVERSITESI,Makine Muhendisligi,334.89814
3169,KOCAELI UNIVERSITESI,Havacilik Yonetimi,334.8254
3170,ATATURK UNIVERSITESI,Amerikan Kulturu ve Edebiyati,334.81737
3171,PAMUKKALE UNIVERSITESI,Tekstil Muhendisligi,334.81007
3172,IZMIR KATIP CELEBI UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,334.6984
3173,KOCAELI UNIVERSITESI,Tarih,334.69162
3174,ISTANBUL AREL UNIVERSITESI,Isletme,334.66564
3175,HALIC UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,334.54962
3176,HACETTEPE UNIVERSITESI,Saglik Yonetimi,334.51739
3177,ALTINBAS UNIVERSITESI,Insaat Muhendisligi,334.47388
3178,ARTVIN CORUH UNIVERSITESI,Ingiliz Dili ve Edebiyati,334.39256
3179,UFUK UNIVERSITESI,Isletme,334.35937
3180,IZMIR TINAZTEPE UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,334.35726
3181,MANISA CELÂL BAYAR UNIVERSITESI,Biyomuhendislik,334.34906
3182,MALTEPE UNIVERSITESI,Isletme,334.27753
3183,FIRAT UNIVERSITESI,Yonetim Bilisim Sistemleri,334.2521
3184,ONDOKUZ MAYIS UNIVERSITESI,Cografya,334.24356
3185,VAN YUZUNCU YIL UNIVERSITESI,Ebelik,334.1771
3186,ISTANBUL KENT UNIVERSITESI,Isletme,334.15483
3187,SULEYMAN DEMIREL UNIVERSITESI,Kimya Muhendisligi,334.15302
3188,ERCIYES UNIVERSITESI,Turk Dili ve Edebiyati,334.14802
3189,ISTANBUL AREL UNIVERSITESI,Uluslararasi Ticaret ve Finansman,334.13342
3190,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Sehir ve Bolge Planlama,334.10587
3191,ISTANBUL ESENYURT UNIVERSITESI,Hemsirelik,333.98979
3192,GEBZE TEKNIK UNIVERSITESI,Isletme,333.9892
3193,ISTANBUL TOPKAPI UNIVERSITESI,Mimarlik,333.97138
3194,HACETTEPE UNIVERSITESI,Turk Halkbilimi,333.91056
3195,ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,Bilgisayar Muhendisligi,333.88637
3196,ANTALYA BELEK UNIVERSITESI,"Radyo, Televizyon ve Sinema",333.86427
3197,ISTANBUL GEDIK UNIVERSITESI,Uluslararasi Ticaret ve Finansman,333.84387
3198,ISTANBUL AREL UNIVERSITESI,Uluslararasi Iliskiler,333.74024
3199,UFUK UNIVERSITESI,Uluslararasi Ticaret ve Finansman,333.67805
3200,EGE UNIVERSITESI,Cocuk Gelisimi,333.67688
3201,BASKENT UNIVERSITESI,Odyoloji,333.64557
3202,DOGU AKDENIZ UNIVERSITESI,Mekatronik Muhendisligi,333.56855
3203,ISTANBUL TICARET UNIVERSITESI,Sosyoloji,333.53798
3204,GAZI UNIVERSITESI,Biyoloji Ogretmenligi,333.53485
3205,DOGU AKDENIZ UNIVERSITESI,Hemsirelik,333.44487
3206,ISTANBUL GALATA UNIVERSITESI,Beslenme ve Diyetetik,333.34516
3207,CANAKKALE ONSEKIZ MART UNIVERSITESI,Istatistik,333.29887
3208,MERSIN UNIVERSITESI,Mimarlik,333.29855
3209,BALIKESIR UNIVERSITESI,Ebelik,333.2916
3210,ANKARA SOSYAL BILIMLER UNIVERSITESI,Sosyoloji,333.25213
3211,SIVAS CUMHURIYET UNIVERSITESI,Yonetim Bilisim Sistemleri,333.22529
3212,OSMANIYE KORKUT ATA UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,333.16643
3213,MANISA CELÂL BAYAR UNIVERSITESI,Ebelik,333.10426
3214,FENERBAHCE UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,333.05189
3215,LEFKE AVRUPA UNIVERSITESI,Hemsirelik,333.04263
3216,GAZIANTEP UNIVERSITESI,Mimarlik,333.02639
3217,DOKUZ EYLUL UNIVERSITESI,Fen Bilgisi Ogretmenligi,332.94357
3218,TARSUS UNIVERSITESI,Ebelik,332.90423
3219,ANKARA UNIVERSITESI,Jeoloji Muhendisligi,332.88948
3220,BIRUNI UNIVERSITESI,Ebelik,332.85522
3221,BEYKOZ UNIVERSITESI,Havacilik Yonetimi,332.81674
3222,ONDOKUZ MAYIS UNIVERSITESI,Istatistik,332.8068
3223,ANKARA UNIVERSITESI,Sosyal Hizmet,332.79056
3224,BILECIK SEYH EDEBALI UNIVERSITESI,Yonetim Bilisim Sistemleri,332.77996
3225,CUKUROVA UNIVERSITESI,Fen Bilgisi Ogretmenligi,332.65459
3226,ISTANBUL BEYKENT UNIVERSITESI,Lojistik Yonetimi,332.59075
3227,KOCAELI UNIVERSITESI,Matematik,332.55517
3228,HASAN KALYONCU UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,332.49807
3229,DOGU AKDENIZ UNIVERSITESI,Mimarlik,332.48818
3230,AYDIN ADNAN MENDERES UNIVERSITESI,Beslenme ve Diyetetik,332.44747
3231,ISTANBUL UNIVERSITESI-CERRAHPASA,Fen Bilgisi Ogretmenligi,332.40659
3232,ISTANBUL GELISIM UNIVERSITESI,Ekonomi ve Finans,332.35082
3233,ATILIM UNIVERSITESI,Odyoloji,332.34347
3234,KOCAELI UNIVERSITESI,"Radyo, Televizyon ve Sinema",332.32977
3235,ULUSLARARASI SARAYBOSNA UNIVERSITESI,Mimarlik,332.22563
3236,IZMIR KATIP CELEBI UNIVERSITESI,Cografya,332.19187
3237,ONDOKUZ MAYIS UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,332.10345
3238,HALIC UNIVERSITESI,Ebelik,332.02187
3239,ISTANBUL MEDIPOL UNIVERSITESI,Insan Kaynaklari Yonetimi,332.0076
3240,SELCUK UNIVERSITESI,Turk Dili ve Edebiyati,332.00547
3241,ISTANBUL 29 MAYIS UNIVERSITESI,Bilgi ve Belge Yonetimi,331.89846
3242,KARADENIZ TEKNIK UNIVERSITESI,Beslenme ve Diyetetik,331.82576
3243,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Mekatronik Muhendisligi,331.78092
3244,IZMIR KATIP CELEBI UNIVERSITESI,Sehir ve Bolge Planlama,331.74907
3245,FIRAT UNIVERSITESI,Ebelik,331.74433
3246,USKUDAR UNIVERSITESI,Ebelik,331.73969
3247,ISTANBUL NISANTASI UNIVERSITESI,Insaat Muhendisligi,331.724
3248,TEKIRDAG NAMIK KEMAL UNIVERSITESI,"Radyo, Televizyon ve Sinema",331.71448
3249,INONU UNIVERSITESI,Ebelik,331.64972
3250,EGE UNIVERSITESI,Odyoloji,331.61106
3251,ISTANBUL BEYKENT UNIVERSITESI,Finans ve Bankacilik,331.57328
3252,LOKMAN HEKIM UNIVERSITESI,Odyoloji,331.53024
3253,ANKARA UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,331.49755
3254,SAKARYA UNIVERSITESI,Turk Dili ve Edebiyati,331.44379
3255,USKUDAR UNIVERSITESI,Ergoterapi,331.43835
3256,ISTANBUL KULTUR UNIVERSITESI,Beslenme ve Diyetetik,331.42472
3257,AKDENIZ UNIVERSITESI,Cocuk Gelisimi,331.40926
3258,ISTANBUL KENT UNIVERSITESI,Beslenme ve Diyetetik,331.33179
3259,ATATURK UNIVERSITESI,Yonetim Bilisim Sistemleri,331.31728
3260,KTO KARATAY UNIVERSITESI,Isletme,331.23348
3261,MARDIN ARTUKLU UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,331.1988
3262,AKDENIZ UNIVERSITESI,Fen Bilgisi Ogretmenligi,331.11938
3263,ANKARA UNIVERSITESI,Astronomi ve Uzay Bilimleri,331.11897
3264,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Ebelik,330.96596
3265,TOROS UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,330.89833
3266,GAZIANTEP ISLAM BILIM VE TEKNOLOJI UNIVERSITESI,Ebelik,330.86232
3267,ANKARA UNIVERSITESI,Felsefe,330.7954
3268,GUMUSHANE UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,330.78317
3269,EGE UNIVERSITESI,Bilgisayar ve Ogretim Teknolojileri Ogretmenligi,330.77747
3270,KIBRIS BATI UNIVERSITESI,Bilgisayar Muhendisligi,330.76099
3271,DOGUS UNIVERSITESI,Grafik,330.74194
3272,AVRASYA UNIVERSITESI,Cocuk Gelisimi,330.74002
3273,ANTALYA BELEK UNIVERSITESI,Iletisim ve Tasarimi,330.67123
3274,MARMARA UNIVERSITESI,Biyoloji Ogretmenligi,330.57459
3275,SINOP UNIVERSITESI,Ebelik,330.54848
3276,ANKARA UNIVERSITESI,Halkbilimi,330.47612
3277,ALANYA UNIVERSITESI,Cizgi Film ve Animasyon,330.45306
3278,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Turizm Rehberligi,330.44369
3279,CANAKKALE ONSEKIZ MART UNIVERSITESI,Cografya,330.44314
3280,NECMETTIN ERBAKAN UNIVERSITESI,Ilahiyat,330.4129
3281,FENERBAHCE UNIVERSITESI,Ebelik,330.33604
3282,ISTANBUL GELISIM UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,330.24803
3283,YAKIN DOGU UNIVERSITESI,Hemsirelik,330.21942
3284,ISTINYE UNIVERSITESI,Ebelik,330.1559
3285,ISTANBUL MEDENIYET UNIVERSITESI,Maliye,330.15325
3286,KOCAELI UNIVERSITESI,Halkla Iliskiler ve Tanitim,330.13908
3287,AMASYA UNIVERSITESI,Ebelik,330.09728
3288,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Fizik,330.07212
3289,IZMIR DEMOKRASI UNIVERSITESI,Turk Dili ve Edebiyati,330.01493
3290,ISTANBUL BEYKENT UNIVERSITESI,Sosyoloji,329.99549
3291,AKDENIZ UNIVERSITESI,Gazetecilik,329.97229
3292,ISTANBUL KENT UNIVERSITESI,Ic Mimarlik,329.96141
3293,KIRIKKALE UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,329.94516
3294,GUMUSHANE UNIVERSITESI,Ingiliz Dili ve Edebiyati,329.90403
3295,TARSUS UNIVERSITESI,Yonetim Bilisim Sistemleri,329.90364
3296,BEYKOZ UNIVERSITESI,Isletme,329.8667
3297,ISTANBUL OKAN UNIVERSITESI,Cocuk Gelisimi,329.84409
3298,NIGDE OMER HALISDEMIR UNIVERSITESI,Ebelik,329.83494
3299,SELCUK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,329.83144
3300,DEMIROGLU BILIM UNIVERSITESI,Beslenme ve Diyetetik,329.72141
3301,GIRNE AMERIKAN UNIVERSITESI,Psikoloji,329.6812
3302,MUDANYA UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,329.67958
3303,MUNZUR UNIVERSITESI,Ingiliz Dili ve Edebiyati,329.66777
3304,ISTANBUL AREL UNIVERSITESI,Biyomedikal Muhendisligi,329.63169
3305,KAPADOKYA UNIVERSITESI,Yonetim Bilisim Sistemleri,329.56979
3306,DICLE UNIVERSITESI,Gazetecilik,329.54881
3307,GAZI UNIVERSITESI,Fizik,329.43839
3308,ANKARA HACI BAYRAM VELI UNIVERSITESI,Fotograf ve Video,329.4207
3309,DOGU AKDENIZ UNIVERSITESI,Bilisim Sistemleri Muhendisligi,329.40344
3310,BEYKOZ UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,329.37656
3311,AKDENIZ UNIVERSITESI,Kimya,329.36311
3312,MANISA CELÂL BAYAR UNIVERSITESI,Metalurji ve Malzeme Muhendisligi,329.33494
3313,BASKENT UNIVERSITESI,Sosyal Hizmet,329.2969
3314,TOROS UNIVERSITESI,Mimarlik,329.29078
3315,AYDIN ADNAN MENDERES UNIVERSITESI,Uluslararasi Iliskiler,329.27972
3316,AKDENIZ UNIVERSITESI,Turizm Isletmeciligi,329.10411
3317,ATATURK UNIVERSITESI,Cocuk Gelisimi,329.05884
3318,EGE UNIVERSITESI,Sosyoloji,329.0371
3319,TOKAT GAZIOSMANPASA UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,329.03081
3320,PAMUKKALE UNIVERSITESI,Isletme,329.02158
3321,ISTANBUL MEDIPOL UNIVERSITESI,Odyoloji,329.01194
3322,ISTANBUL TICARET UNIVERSITESI,Tekstil ve Moda Tasarimi,328.98483
3323,KOCAELI UNIVERSITESI,Insaat Muhendisligi,328.96234
3324,ADA KENT UNIVERSITESI,Ingilizce Ogretmenligi,328.91177
3325,CAG UNIVERSITESI,Uluslararasi Iliskiler,328.85775
3326,ANTALYA BILIM UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,328.83651
3327,DOKUZ EYLUL UNIVERSITESI,Kimya,328.79241
3328,HACETTEPE UNIVERSITESI,Aktuerya Bilimleri,328.77504
3329,ALANYA UNIVERSITESI,Iletisim ve Tasarimi,328.73124
3330,GAZIANTEP UNIVERSITESI,Tarih,328.69669
